,train accuracies,train and AMT accuracies,train F0.5,train and AMT F0.5
0,0.5145317912101746,0.5125208497047424,0.40766568791946317,0.5026145214880985
1,0.518477737903595,0.5146456360816956,0.3760771824653429,0.4986795774647887
2,0.5125967264175415,0.5235620141029358,0.45604418682795705,0.5016002327611289
3,0.5091440081596375,0.5083093047142029,0.48481979849888435,0.48133211916222196
4,0.5054636597633362,0.5207542777061462,0.47006701671963513,0.5013067897458711
5,0.5112308263778687,0.5193504095077515,0.4854631403324477,0.49330413810611823
6,0.520298957824707,0.5091440081596375,0.5230458541221193,0.4689482720011944
7,0.5212095975875854,0.5148353576660156,0.5243198496509754,0.5156145438322551
8,0.5218925476074219,0.5079298615455627,0.4564630091438071,0.3764250032022544
9,0.527052640914917,0.5209819674491882,0.3720296704739399,0.49193800876643706
