lat/lon,latitude,longitude
"42.553,-83.4802",42.553,-83.4802
"44.0387,-84.8414",44.0387,-84.8414
"9.9333,78.1167",9.9333,78.1167
"43.4375,-116.3232",43.4375,-116.3232
"41.1787,-112.0493",41.1787,-112.0493
"10.805,78.6856",10.805,78.6856
"26.5299,-81.6907",26.5299,-81.6907
"31.8581,-81.5854",31.8581,-81.5854
"36.6696,-93.2615",36.6696,-93.2615
"35.9767,-78.5544",35.9767,-78.5544
"43.0286,-89.5181",43.0286,-89.5181
"33.8312,-117.6053",33.8312,-117.6053
"33.5734,-112.257",33.5734,-112.257
"43.6319,-79.3716",43.6319,-79.3716
"39.6929,-104.8847",39.6929,-104.8847
"41.9038,-87.6757",41.9038,-87.6757
"35.7977,-78.6253",35.7977,-78.6253
"41.3592,-85.4305",41.3592,-85.4305
"42.2196,-83.6046",42.2196,-83.6046
"-0.18065319999999999,-78.4678382",-0.18065319999999999,-78.4678382
"42.4736,-82.9968",42.4736,-82.9968
"30.0378,-95.5326",30.0378,-95.5326
"38.6932,-121.3116",38.6932,-121.3116
"42.5507,-90.6931",42.5507,-90.6931
"45.7226,-68.7951",45.7226,-68.7951
"8.5069,76.9569",8.5069,76.9569
"40.753,-75.3062",40.753,-75.3062
"32.9013,-96.7936",32.9013,-96.7936
"39.6384,-104.9058",39.6384,-104.9058
"36.5958,-4.6373",36.5958,-4.6373
"43.6319,-79.3716",43.6319,-79.3716
"41.7672,-72.4386",41.7672,-72.4386
"32.3369,-111.0502",32.3369,-111.0502
"40.0294,-74.5874",40.0294,-74.5874
"29.5711,-97.9299",29.5711,-97.9299
"33.1071,-86.9032",33.1071,-86.9032
"34.4954,-117.3686",34.4954,-117.3686
"12.9761,80.1836",12.9761,80.1836
"13.0833,80.2833",13.0833,80.2833
"9.9333,78.1167",9.9333,78.1167
"14.4667,78.8167",14.4667,78.8167
"43.7608,-84.0513",43.7608,-84.0513
"41.8745,-87.6503",41.8745,-87.6503
"41.092,-80.6416",41.092,-80.6416
"43.0323,-71.1992",43.0323,-71.1992
"10.805,78.6856",10.805,78.6856
"34.821,-120.4102",34.821,-120.4102
"36.1147,-79.7422",36.1147,-79.7422
"33.0017,-96.8441",33.0017,-96.8441
"39.2956,-94.9803",39.2956,-94.9803
"32.425,-99.7976",32.425,-99.7976
"41.4452,-81.6996",41.4452,-81.6996
"35.5498,-118.9171",35.5498,-118.9171
"42.1695,-87.9588",42.1695,-87.9588
"34.1463,-118.4293",34.1463,-118.4293
"40.0491,-75.2281",40.0491,-75.2281
"33.6161,-111.9456",33.6161,-111.9456
"47.4356,-122.1141",47.4356,-122.1141
"39.6237,-104.8738",39.6237,-104.8738
"28.5883,-81.2439",28.5883,-81.2439
"34.1036,-84.6374",34.1036,-84.6374
"40.5324,-75.2195",40.5324,-75.2195
"33.4514,-111.6412",33.4514,-111.6412
"39.5929,-82.8912",39.5929,-82.8912
"30.1672,-81.7715",30.1672,-81.7715
"44.1408,-75.3071",44.1408,-75.3071
"9.5167,77.6333",9.5167,77.6333
"37.2906,-80.1014",37.2906,-80.1014
"41.9965,21.4314",41.9965,21.4314
"9.9667,76.2333",9.9667,76.2333
"19.2,72.9667",19.2,72.9667
"39.9597,-75.1968",39.9597,-75.1968
"30.4549,-97.7565",30.4549,-97.7565
"42.1955,-71.8463",42.1955,-71.8463
"33.7818,-117.3317",33.7818,-117.3317
"42.8854,-78.7503",42.8854,-78.7503
"41.2908,-93.1405",41.2908,-93.1405
"42.4166,-71.1469",42.4166,-71.1469
"42.3252,-83.3453",42.3252,-83.3453
"39.7126,-84.1662",39.7126,-84.1662
"12.8458,77.6727",12.8458,77.6727
"36.2412,-86.7846",36.2412,-86.7846
"39.1023,-96.5246",39.1023,-96.5246
"40.8195,-73.9209",40.8195,-73.9209
"40.283,-74.7151",40.283,-74.7151
"37.751,-97.822",37.751,-97.822
"42.1556,-71.4268",42.1556,-71.4268
"33.3072,-87.5859",33.3072,-87.5859
"40.4857,-75.6884",40.4857,-75.6884
"34.1267,-118.7648",34.1267,-118.7648
"47.5924,-116.9119",47.5924,-116.9119
"33.8893,-118.401",33.8893,-118.401
"39.932,-77.7069",39.932,-77.7069
"47.2875,-122.1094",47.2875,-122.1094
"37.751,-97.822",37.751,-97.822
"37.751,-97.822",37.751,-97.822
"35.1598,136.9025",35.1598,136.9025
"6.4531,3.3958",6.4531,3.3958
"42.7705,-83.7467",42.7705,-83.7467
"36.1659,-86.7844",36.1659,-86.7844
"10.4333,-66.7667",10.4333,-66.7667
"42.9314,-85.6497",42.9314,-85.6497
"34.9701,-116.9929",34.9701,-116.9929
"30.5052,-97.8203",30.5052,-97.8203
"36.0074,-79.8732",36.0074,-79.8732
"38.9219,-89.2775",38.9219,-89.2775
"20,77",20,77
"33.0325,-83.8957",33.0325,-83.8957
"40.7165,-73.8812",40.7165,-73.8812
"40.4439,-79.9561",40.4439,-79.9561
"40.4235,-79.7588",40.4235,-79.7588
"30.3079,-95.4315",30.3079,-95.4315
"32.4272,-97.7982",32.4272,-97.7982
"37.5112,126.9741",37.5112,126.9741
"30.6131,-96.3217",30.6131,-96.3217
"43.85,18.3833",43.85,18.3833
"43.9865,-90.7935",43.9865,-90.7935
"43.3334,-73.8147",43.3334,-73.8147
"47.6062,-122.3321",47.6062,-122.3321
