percentages,test0_f05,AMTtest0_f05,test0_p,AMTtest0_p,test0_accuracy,AMTtest0_accuracy
10%,0.403496168582,0.401199494949,0.446949602122,0.453928571429,0.856643255585,0.858435214891
20%,0.504617414248,0.517418032787,0.559322033898,0.606,0.876210295095,0.881210439608
30%,0.581865947174,0.602319706017,0.694197373994,0.656856606137,0.892395733981,0.894852452383
40%,0.664385924563,0.693747147421,0.724905897114,0.754810676598,0.90733836238,0.913350096824
50%,0.729296712443,0.712584358873,0.769061985738,0.740587931924,0.922598919044,0.919824272378
60%,0.784780023781,0.791616405308,0.815234173958,0.825904562139,0.93670337293,0.93774386543
70%,0.851550822123,0.853170824605,0.869751908397,0.87606942068,0.955490043065,0.954825283968
80%,0.8834,0.881788261108,0.8988,0.895335344628,0.9643,0.964363131882
90%,0.933389619623,0.93158270811,0.94066278549,0.940063091483,0.979652591115,0.978785514032
100%,0.969857844858,0.969171566932,0.974217717056,0.969926438771,0.990288736669,0.991444839446
